workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,karot,food,3,bulok,kahoy,age,0.31,material
0,keso,food,4,asul,makinis,color,0.74,texture
0,silya,furniture,5,kahoy,malaki,material,0.21,size
0,mansanas,food,6,mahaba,cuadrado,size,0.57,shape
0,mesa,furniture,7,tatsulok,itim,shape,0.61,color
0,mesa,furniture,8,parihaba,asul,shape,0.25,color
0,saging,food,9,sariwa,itim,age,0.35,color
0,keso,food,10,parihaba,itim,shape,0.6,color
0,mesa,furniture,11,bilog,maliit,shape,0.68,size
0,sopa,furniture,12,berde,makinis,color,0.22,texture
0,kamatis,food,13,aluminyo,berde,material,0.37,color
0,kamatis,food,14,pula,sira,color,0.63,quality
0,television,furniture,15,luma,tatsulok,age,0.38,shape
0,mesa,furniture,16,parihaba,bago,shape,0.2,age
0,kamatis,food,17,matigas,puti,texture,0.4,color
0,karot,food,18,makinis,parihaba,texture,0.56,shape
0,saging,food,19,maganda,makinis,quality,0.4,texture
0,television,furniture,20,asul,malambot,color,0.24,texture
0,lampara,furniture,21,malaki,asul,size,0.6,color
0,saging,food,22,sira,malaki,quality,0.65,size
0,saging,food,23,pula,cuadrado,color,0.36,shape
0,saging,food,24,maliit,cuadrado,size,0.41,shape
0,mesa,furniture,25,kahoy,cuadrado,material,0.56,shape
0,mesa,furniture,26,bakal,malaki,material,0.54,size
0,mesa,furniture,27,luma,matigas,age,0.8,texture
0,sopa,furniture,28,maikli,parihaba,size,0.67,shape
1,kamatis,food,3,cuadrado,sariwa,shape,0.26,age
1,keso,food,4,bago,maikli,age,0.48,size
1,karot,food,5,bakal,cuadrado,material,0.74,shape
1,keso,food,6,dilaw,malambot,color,0.32,texture
1,karot,food,7,makinis,pula,texture,0.67,color
1,saging,food,8,bakal,berde,material,0.44,color
1,kamatis,food,9,sira,aluminyo,quality,0.83,material
1,karot,food,10,luma,puti,age,0.45,color
1,mansanas,food,11,bago,aluminyo,age,0.86,material
1,karot,food,12,malambot,itim,texture,0.6,color
1,kamatis,food,13,malaki,bilog,size,0.73,shape
1,lampara,furniture,14,bago,parihaba,age,0.44,shape
1,karot,food,15,makinis,aluminyo,texture,0.77,material
1,saging,food,16,mahaba,luma,size,0.53,age
1,sopa,furniture,17,asul,tatsulok,color,0.73,shape
1,sopa,furniture,18,malambot,puti,texture,0.46,color
1,silya,furniture,19,itim,bakal,color,0.74,material
1,mesa,furniture,20,maikli,itim,size,0.81,color
1,mansanas,food,21,matigas,bago,texture,0.57,age
1,lampara,furniture,22,makinis,mahaba,texture,0.77,size
1,kamatis,food,23,matigas,cuadrado,texture,0.48,shape
1,mesa,furniture,24,asul,kahoy,color,0.66,material
1,mansanas,food,25,malambot,berde,texture,0.86,color
1,silya,furniture,26,itim,malaki,color,0.79,size
1,sopa,furniture,27,sira,aluminyo,quality,0.67,material
1,keso,food,28,luma,malaki,age,0.85,size
2,kamatis,food,3,bago,maikli,age,0.11,size
2,lampara,furniture,4,parihaba,maganda,shape,0.12,quality
2,television,furniture,5,sira,pula,quality,0,color
2,keso,food,6,malambot,sira,texture,0.06,quality
2,silya,furniture,7,matigas,maliit,texture,0.86,size
2,mesa,furniture,8,aluminyo,sariwa,material,0.13,age
2,saging,food,9,itim,bulok,color,0,age
2,television,furniture,10,dilaw,matigas,color,0,texture
2,television,furniture,11,itim,maganda,color,1,quality
2,keso,food,12,makinis,pula,texture,0.18,color
2,kamatis,food,13,maganda,luma,quality,0.11,age
2,television,furniture,14,tatsulok,malambot,shape,0.82,texture
2,karot,food,15,bulok,cuadrado,age,0.08,shape
2,mesa,furniture,16,dilaw,maliit,color,0.16,size
2,silya,furniture,17,malaki,bulok,size,0.11,age
2,lampara,furniture,18,maikli,sira,size,0.32,quality
2,karot,food,19,cuadrado,malambot,shape,0.83,texture
2,keso,food,20,luma,tatsulok,age,0.21,shape
2,lampara,furniture,21,luma,malaki,age,0.8,size
2,karot,food,22,dilaw,matigas,color,0.93,texture
2,keso,food,23,bilog,matigas,shape,0.04,texture
2,keso,food,24,maikli,malambot,size,0.93,texture
2,keso,food,25,maliit,luma,size,0.05,age
2,television,furniture,26,bago,asul,age,0.08,color
2,mesa,furniture,27,parihaba,bulok,shape,0.11,age
2,silya,furniture,28,aluminyo,pula,material,0.12,color
3,mansanas,food,3,bakal,bago,material,0.63,age
3,mesa,furniture,4,sariwa,parihaba,age,0.42,shape
3,silya,furniture,5,bulok,bakal,age,0.64,material
3,mesa,furniture,6,puti,malaki,color,0.64,size
3,saging,food,7,kahoy,asul,material,0.35,color
3,lampara,furniture,8,aluminyo,itim,material,0.71,color
3,kamatis,food,9,luma,itim,age,0.64,color
3,sopa,furniture,10,pula,parihaba,color,0.88,shape
3,kamatis,food,11,puti,malambot,color,0.23,texture
3,mansanas,food,12,parihaba,bakal,shape,0.25,material
3,lampara,furniture,13,bulok,tatsulok,age,0.25,shape
3,mesa,furniture,14,makinis,sira,texture,0.32,quality
3,sopa,furniture,15,dilaw,malambot,color,0.65,texture
3,karot,food,16,pula,luma,color,0.9,age
3,saging,food,17,bago,asul,age,0.75,color
3,keso,food,18,puti,aluminyo,color,0.81,material
3,saging,food,19,puti,malaki,color,0.26,size
3,mansanas,food,20,maikli,asul,size,0.67,color
3,kamatis,food,21,sariwa,parihaba,age,0.78,shape
3,saging,food,22,sariwa,pula,age,0.47,color
3,keso,food,23,makinis,puti,texture,0.25,color
3,sopa,furniture,24,asul,maliit,color,0.26,size
3,keso,food,25,sira,cuadrado,quality,0.81,shape
3,karot,food,26,maliit,itim,size,0.92,color
3,lampara,furniture,27,malambot,maganda,texture,0.95,quality
3,saging,food,28,maliit,kahoy,size,0.66,material
