date,workerid,amount
Mon Feb 19 15:55:33 PST 2018,A1UYS657H2WSZW,0.5
Mon Feb 19 15:59:06 PST 2018,A184EIWAV7P9EH,0.5
Mon Feb 19 17:02:53 PST 2018,AT60ESWGVSAG9,0.5
Mon Feb 19 17:36:52 PST 2018,A1K0NCFPCVOQ2W,0.5
Mon Feb 19 17:42:01 PST 2018,A1W4UH23PJ33GT,0.5
Mon Feb 19 18:25:07 PST 2018,A1KKFIBM7I826V,0.5
Mon Feb 19 19:25:44 PST 2018,A3SNSWMNXQEHAO,0.5
Mon Feb 19 20:08:14 PST 2018,A23N1369IUY0DE,0.5
Mon Feb 19 21:45:44 PST 2018,A1S2MN0E9BHPVA,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
