workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,lampara,furniture,3,tatsulok,matigas,shape,0.97,texture
0,saging,food,4,itim,makinis,color,0.98,texture
0,silya,furniture,5,bago,itim,age,0.98,color
0,kamatis,food,6,tatsulok,dilaw,shape,0.96,color
0,mesa,furniture,7,malaki,bago,size,0.96,age
0,silya,furniture,8,luma,aluminyo,age,0.5,material
0,mesa,furniture,9,bakal,bulok,material,0.97,age
0,karot,food,10,sira,maliit,quality,0.99,size
0,mesa,furniture,11,itim,maikli,color,0.97,size
0,kamatis,food,12,mahaba,parihaba,size,0.04,shape
0,lampara,furniture,13,puti,kahoy,color,0.02,material
0,television,furniture,14,pula,maikli,color,0.01,size
0,karot,food,15,itim,mahaba,color,0.03,size
0,mesa,furniture,16,itim,maikli,color,0.98,size
0,television,furniture,17,makinis,asul,texture,0.04,color
0,mansanas,food,18,malambot,maikli,texture,0.97,size
0,mesa,furniture,19,aluminyo,dilaw,material,0.04,color
0,saging,food,20,malaki,itim,size,0.96,color
0,mansanas,food,21,bakal,maikli,material,0.97,size
0,saging,food,22,sira,bago,quality,0.92,age
0,karot,food,23,matigas,maikli,texture,0.05,size
0,silya,furniture,24,maganda,bulok,quality,0.97,age
0,mesa,furniture,25,itim,maikli,color,0.98,size
0,mansanas,food,26,malambot,mahaba,texture,0.96,size
0,saging,food,27,sariwa,cuadrado,age,0.03,shape
0,silya,furniture,28,parihaba,matigas,shape,0.94,texture
1,lampara,furniture,3,bulok,bilog,age,0.77,shape
1,mesa,furniture,4,sira,bilog,quality,0.88,shape
1,mansanas,food,5,sira,dilaw,quality,0.37,color
1,karot,food,6,cuadrado,malambot,shape,0.88,texture
1,kamatis,food,7,malaki,kahoy,size,0.74,material
1,silya,furniture,8,sira,itim,quality,0.1,color
1,karot,food,9,mahaba,kahoy,size,0.87,material
1,silya,furniture,10,dilaw,bulok,color,0.13,age
1,keso,food,11,tatsulok,sira,shape,0.5,quality
1,lampara,furniture,12,asul,parihaba,color,0.75,shape
1,mesa,furniture,13,maganda,bilog,quality,0.84,shape
1,television,furniture,14,sira,sariwa,quality,0,age
1,karot,food,15,makinis,cuadrado,texture,0.09,shape
1,saging,food,16,sariwa,parihaba,age,0.8,shape
1,kamatis,food,17,parihaba,kahoy,shape,0.17,material
1,saging,food,18,maganda,maikli,quality,0.21,size
1,lampara,furniture,19,sariwa,matigas,age,0.65,texture
1,karot,food,20,parihaba,maikli,shape,0.68,size
1,mansanas,food,21,sariwa,parihaba,age,0.1,shape
1,silya,furniture,22,malaki,cuadrado,size,0.18,shape
1,saging,food,23,bago,mahaba,age,0.86,size
1,silya,furniture,24,bulok,maliit,age,0.08,size
1,saging,food,25,matigas,sariwa,texture,0.04,age
1,television,furniture,26,bago,aluminyo,age,0.05,material
1,saging,food,27,malaki,pula,size,0.12,color
1,silya,furniture,28,maikli,sariwa,size,0.25,age
2,saging,food,3,bakal,maliit,material,0.57,size
2,karot,food,4,maikli,tatsulok,size,0.43,shape
