workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class,language,born,enjoyment,gender,age,comments,assess,agemove,live,dialects,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,ay hindi,parihaba,kamatis,0.49,food,3,shape,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay,sariwa,lampara,0.83,furniture,4,age,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay,mahaba,mesa,0.32,furniture,5,size,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay,malambot,mesa,0.67,furniture,6,texture,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay hindi,cuadrado,karot,0.73,food,7,shape,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay hindi,dilaw,keso,0.78,food,8,color,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay,aluminyo,saging,0.08,food,9,material,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay hindi,berde,kamatis,0.46,food,10,color,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay hindi,malaki,karot,0.66,food,11,size,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
0,ay,tatsulok,saging,0.7,food,12,shape,1,Other,2,Female,1989,66,NA,1,Other,2,2,Windows,768,1366,Chrome,386T3MLZLNQ3495HHHAJETZU8RS80U,32KI9HN0SI4LZM6UAVK595TJ2FL1U6,Survey ng wikang Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog pilipino,lengguwa wika research saliksik Tagalog saya cognitive agham universidad,$0.50,Mon Feb 26 16:42:24 PST 2018,45,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Mar 28 17:42:24 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=386T3MLZLNQ3495HHHAJETZU8RS80U,37XITHEISX5W3QDMJ8E5PUSOWOXRC6,0,Submitted,Tue Feb 27 09:24:53 PST 2018,Mon Feb 26 16:42:55 PST 2018,Mon Feb 26 16:44:53 PST 2018,,,,,,[],1.85905
