workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1,language,born,enjoyment,gender,age,comments,assess,agemove,live,dialects,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,mesa,furniture,3,tatsulok,puti,shape,0.68,color,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,silya,furniture,4,luma,berde,age,0.47,color,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,keso,food,5,mahaba,tatsulok,size,0.51,shape,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,karot,food,6,sariwa,puti,age,0.49,color,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,saging,food,7,mahaba,tatsulok,size,0.5,shape,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,mansanas,food,8,kahoy,malambot,material,0.66,texture,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,television,furniture,9,sariwa,asul,age,0.17,color,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,karot,food,10,parihaba,sariwa,shape,0.48,age,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,lampara,furniture,11,matigas,bulok,texture,0.49,age,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
0,television,furniture,12,bakal,tatsulok,material,0.45,shape,English,USA,1,Female,47,Good experiment,Yes,12,USA,None,3,Windows,1024,1280,Firefox,3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3R70E4E2COPSUK8W96AVGVPBYVICP9,Interpreting phrases of Tagalog,Ang mga survey na ito ay nilalaman ng mga pariralang Tagalog,language research Tagalog fun cognitive science university,$0.50,Mon Jan 29 15:07:09 PST 2018,9,0,1,0,Unassignable,NotReviewed,1 cond,1800,60000,Wed Feb 28 15:07:09 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI3F75JO6GVF3MHO2M4PFN,3PPTZCWALRG9ZI9WY79DV2J47KEZQ7,0,Submitted,Tue Jan 30 07:50:54 PST 2018,Mon Jan 29 15:07:49 PST 2018,Mon Jan 29 15:10:54 PST 2018,,,,,,[],2.8240333333333334
